Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C23",CP_Radial_D5.0mm_P2.50mm,3,10uF,
"C10, C8",CP_Radial_D10.0mm_P5.00mm,2,47uF,
"C11, C22",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,100nF,
"C13, C16",CP_Radial_D10.0mm_P5.00mm,2,0.1uF,
"C14, C17",CP_Radial_D10.0mm_P5.00mm,2,470uF,
C15,CP_Radial_D10.0mm_P5.00mm,1,10uF,
"C18, C5, C6",CP_Radial_D10.0mm_P5.00mm,3,22uF,
"C19, C20",CP_Radial_D10.0mm_P5.00mm,2,680uF,
"C2, C24, C4",0805,3,0.1uF,
C3,CP_Radial_D5.0mm_P2.50mm,1,1uF,
C7,CP_Radial_D10.0mm_P5.00mm,1,100uF,
C9,CP_Radial_D10.0mm_P5.00mm,1,220uF,
D1,D_MiniMELF,1,BZV55B15,
"D10, D2",D_DO-201AD_P15.24mm_Horizontal,2,1N5820,
D3,D_SMB,1,SM6T30A,
"D4, D5, D6, D7, D8, D9",LED_D5.0mm,6,LED,
J1,BarrelJack_Horizontal,1,Input,
"J10, J4",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02,
J11,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J12,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial_Small,
J2,Altech_AK100_1x02_P5.00mm,1,Power Switch,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J5,PinHeader_1x02_P2.54mm_Vertical,1,BOOT,
J6,PinHeader_1x02_P2.54mm_Vertical,1,EN,
J7,U.FL_Molex_MCRF_73412-0110_Vertical,1,Conn_Coaxial_Small,
J8,PinHeader_2x09_P2.54mm_Vertical,1,Conn_02x09_Counter_Clockwise,
J9,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10,
L1,1206,1,33uH,
L2,1206,1,47uH,
Q1,TO-220-3_Vertical,1,IRF9540N,
Q2,TO-220-3_Vertical,1,IRF540N,
"R1, R18, R19, R2, R20, R22, R3, R4, R5, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,11,10k,
"R12, R13",0805,2,22,
"R14, R15",0805,2,5.1k,
"R16, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,100k,
U1,ublox_NEO,1,NEO-M8N,
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-3.3,
U5,Texas_DRT-3,1,TPD2EUSB30,
U6,XCVR_E22-900M30S,1,E22-900M30S,
U7,TSSOP-16_4.4x5mm_P0.65mm,1,INA260,
